"Gender"	"Provinces"	"Periodo"	"Situation"	"value"
"Males"	"02 Albacete"	"2014QIV"	"Active population"	103.9
"Females"	"02 Albacete"	"2014QIV"	"Active population"	83.5
"Males"	"03 Alicante/Alacant"	"2014QIV"	"Active population"	490.5
"Females"	"03 Alicante/Alacant"	"2014QIV"	"Active population"	398.7
"Males"	"04 Almería"	"2014QIV"	"Active population"	198.5
"Females"	"04 Almería"	"2014QIV"	"Active population"	155.8
"Males"	"01 Araba/Álava"	"2014QIV"	"Active population"	84.8
"Females"	"01 Araba/Álava"	"2014QIV"	"Active population"	77.5
"Males"	"33 Asturias"	"2014QIV"	"Active population"	248
"Females"	"33 Asturias"	"2014QIV"	"Active population"	225.7
"Males"	"05 Ávila"	"2014QIV"	"Active population"	43
"Females"	"05 Ávila"	"2014QIV"	"Active population"	31.5
"Males"	"06 Badajoz"	"2014QIV"	"Active population"	181
"Females"	"06 Badajoz"	"2014QIV"	"Active population"	137.4
"Males"	"07 Balears, Illes"	"2014QIV"	"Active population"	320.4
"Females"	"07 Balears, Illes"	"2014QIV"	"Active population"	269.5
"Males"	"08 Barcelona"	"2014QIV"	"Active population"	1465.7
"Females"	"08 Barcelona"	"2014QIV"	"Active population"	1330.5
"Males"	"48 Bizkaia"	"2014QIV"	"Active population"	292.3
"Females"	"48 Bizkaia"	"2014QIV"	"Active population"	262.3
"Males"	"09 Burgos"	"2014QIV"	"Active population"	100.1
"Females"	"09 Burgos"	"2014QIV"	"Active population"	80.1
"Males"	"10 Cáceres"	"2014QIV"	"Active population"	105.1
"Females"	"10 Cáceres"	"2014QIV"	"Active population"	83.2
"Males"	"11 Cádiz"	"2014QIV"	"Active population"	321.7
"Females"	"11 Cádiz"	"2014QIV"	"Active population"	255.4
"Males"	"39 Cantabria"	"2014QIV"	"Active population"	151
"Females"	"39 Cantabria"	"2014QIV"	"Active population"	127
"Males"	"12 Castellón/Castelló"	"2014QIV"	"Active population"	156.3
"Females"	"12 Castellón/Castelló"	"2014QIV"	"Active population"	130.3
"Males"	"13 Ciudad Real"	"2014QIV"	"Active population"	137.3
"Females"	"13 Ciudad Real"	"2014QIV"	"Active population"	102.4
"Males"	"14 Córdoba"	"2014QIV"	"Active population"	207.3
"Females"	"14 Córdoba"	"2014QIV"	"Active population"	168.7
"Males"	"15 Coruña, A"	"2014QIV"	"Active population"	278.7
"Females"	"15 Coruña, A"	"2014QIV"	"Active population"	253.5
"Males"	"16 Cuenca"	"2014QIV"	"Active population"	54.2
"Females"	"16 Cuenca"	"2014QIV"	"Active population"	37.7
"Males"	"20 Gipuzkoa"	"2014QIV"	"Active population"	173.2
"Females"	"20 Gipuzkoa"	"2014QIV"	"Active population"	158.5
"Males"	"17 Girona"	"2014QIV"	"Active population"	208.8
"Females"	"17 Girona"	"2014QIV"	"Active population"	180
"Males"	"18 Granada"	"2014QIV"	"Active population"	249.9
"Females"	"18 Granada"	"2014QIV"	"Active population"	200.9
"Males"	"19 Guadalajara"	"2014QIV"	"Active population"	74.3
"Females"	"19 Guadalajara"	"2014QIV"	"Active population"	60.4
"Males"	"21 Huelva"	"2014QIV"	"Active population"	134
"Females"	"21 Huelva"	"2014QIV"	"Active population"	113.4
"Males"	"22 Huesca"	"2014QIV"	"Active population"	61.1
"Females"	"22 Huesca"	"2014QIV"	"Active population"	47.4
"Males"	"23 Jaén"	"2014QIV"	"Active population"	167.9
"Females"	"23 Jaén"	"2014QIV"	"Active population"	131.6
"Males"	"24 León"	"2014QIV"	"Active population"	113.7
"Females"	"24 León"	"2014QIV"	"Active population"	98.3
"Males"	"25 Lleida"	"2014QIV"	"Active population"	122.2
"Females"	"25 Lleida"	"2014QIV"	"Active population"	98
"Males"	"27 Lugo"	"2014QIV"	"Active population"	79.4
"Females"	"27 Lugo"	"2014QIV"	"Active population"	71.7
"Males"	"28 Madrid"	"2014QIV"	"Active population"	1748.8
"Females"	"28 Madrid"	"2014QIV"	"Active population"	1652.6
"Males"	"29 Málaga"	"2014QIV"	"Active population"	438.3
"Females"	"29 Málaga"	"2014QIV"	"Active population"	378.4
"Males"	"30 Murcia"	"2014QIV"	"Active population"	401.9
"Females"	"30 Murcia"	"2014QIV"	"Active population"	320.3
"Males"	"31 Navarra"	"2014QIV"	"Active population"	168.4
"Females"	"31 Navarra"	"2014QIV"	"Active population"	142.3
"Males"	"32 Ourense"	"2014QIV"	"Active population"	69.3
"Females"	"32 Ourense"	"2014QIV"	"Active population"	65.9
"Males"	"34 Palencia"	"2014QIV"	"Active population"	42.5
"Females"	"34 Palencia"	"2014QIV"	"Active population"	33.1
"Males"	"35 Palmas, Las"	"2014QIV"	"Active population"	310.7
"Females"	"35 Palmas, Las"	"2014QIV"	"Active population"	263.6
"Males"	"36 Pontevedra"	"2014QIV"	"Active population"	236.3
"Females"	"36 Pontevedra"	"2014QIV"	"Active population"	209.4
"Males"	"26 Rioja, La"	"2014QIV"	"Active population"	83.9
"Females"	"26 Rioja, La"	"2014QIV"	"Active population"	70.1
"Males"	"37 Salamanca"	"2014QIV"	"Active population"	85.9
"Females"	"37 Salamanca"	"2014QIV"	"Active population"	70.1
"Males"	"38 Santa Cruz de Tenerife"	"2014QIV"	"Active population"	281.9
"Females"	"38 Santa Cruz de Tenerife"	"2014QIV"	"Active population"	244.7
"Males"	"40 Segovia"	"2014QIV"	"Active population"	44
"Females"	"40 Segovia"	"2014QIV"	"Active population"	33.6
"Males"	"41 Sevilla"	"2014QIV"	"Active population"	511.4
"Females"	"41 Sevilla"	"2014QIV"	"Active population"	444.2
"Males"	"42 Soria"	"2014QIV"	"Active population"	24
"Females"	"42 Soria"	"2014QIV"	"Active population"	19.4
"Males"	"43 Tarragona"	"2014QIV"	"Active population"	218.9
"Females"	"43 Tarragona"	"2014QIV"	"Active population"	180.5
"Males"	"44 Teruel"	"2014QIV"	"Active population"	37.6
"Females"	"44 Teruel"	"2014QIV"	"Active population"	27.1
"Males"	"45 Toledo"	"2014QIV"	"Active population"	193.7
"Females"	"45 Toledo"	"2014QIV"	"Active population"	146.1
"Males"	"46 Valencia/València"	"2014QIV"	"Active population"	678.3
"Females"	"46 Valencia/València"	"2014QIV"	"Active population"	570.7
"Males"	"47 Valladolid"	"2014QIV"	"Active population"	134.4
"Females"	"47 Valladolid"	"2014QIV"	"Active population"	116.1
"Males"	"49 Zamora"	"2014QIV"	"Active population"	48.1
"Females"	"49 Zamora"	"2014QIV"	"Active population"	37.3
"Males"	"50 Zaragoza"	"2014QIV"	"Active population"	256.4
"Females"	"50 Zaragoza"	"2014QIV"	"Active population"	217.6
"Males"	"51 Ceuta"	"2014QIV"	"Active population"	23.9
"Females"	"51 Ceuta"	"2014QIV"	"Active population"	15.5
"Males"	"52 Melilla"	"2014QIV"	"Active population"	19.5
"Females"	"52 Melilla"	"2014QIV"	"Active population"	14.9
"Males"	"02 Albacete"	"2014QIII"	"Active population"	103.5
"Females"	"02 Albacete"	"2014QIII"	"Active population"	83
"Males"	"03 Alicante/Alacant"	"2014QIII"	"Active population"	486.1
"Females"	"03 Alicante/Alacant"	"2014QIII"	"Active population"	401.6
"Males"	"04 Almería"	"2014QIII"	"Active population"	199.4
"Females"	"04 Almería"	"2014QIII"	"Active population"	148.5
"Males"	"01 Araba/Álava"	"2014QIII"	"Active population"	84.1
"Females"	"01 Araba/Álava"	"2014QIII"	"Active population"	74.1
"Males"	"33 Asturias"	"2014QIII"	"Active population"	248.5
"Females"	"33 Asturias"	"2014QIII"	"Active population"	231.5
"Males"	"05 Ávila"	"2014QIII"	"Active population"	43.6
"Females"	"05 Ávila"	"2014QIII"	"Active population"	31.2
"Males"	"06 Badajoz"	"2014QIII"	"Active population"	179.6
"Females"	"06 Badajoz"	"2014QIII"	"Active population"	135.3
"Males"	"07 Balears, Illes"	"2014QIII"	"Active population"	341.6
"Females"	"07 Balears, Illes"	"2014QIII"	"Active population"	292.1
"Males"	"08 Barcelona"	"2014QIII"	"Active population"	1446.6
"Females"	"08 Barcelona"	"2014QIII"	"Active population"	1327.4
"Males"	"48 Bizkaia"	"2014QIII"	"Active population"	288.6
"Females"	"48 Bizkaia"	"2014QIII"	"Active population"	246.4
"Males"	"09 Burgos"	"2014QIII"	"Active population"	101.5
"Females"	"09 Burgos"	"2014QIII"	"Active population"	80.4
"Males"	"10 Cáceres"	"2014QIII"	"Active population"	107.5
"Females"	"10 Cáceres"	"2014QIII"	"Active population"	85.2
"Males"	"11 Cádiz"	"2014QIII"	"Active population"	326.5
"Females"	"11 Cádiz"	"2014QIII"	"Active population"	266.6
"Males"	"39 Cantabria"	"2014QIII"	"Active population"	154
"Females"	"39 Cantabria"	"2014QIII"	"Active population"	130.2
"Males"	"12 Castellón/Castelló"	"2014QIII"	"Active population"	156.1
"Females"	"12 Castellón/Castelló"	"2014QIII"	"Active population"	128
"Males"	"13 Ciudad Real"	"2014QIII"	"Active population"	143
"Females"	"13 Ciudad Real"	"2014QIII"	"Active population"	104.8
"Males"	"14 Córdoba"	"2014QIII"	"Active population"	210.1
"Females"	"14 Córdoba"	"2014QIII"	"Active population"	160.2
"Males"	"15 Coruña, A"	"2014QIII"	"Active population"	285.3
"Females"	"15 Coruña, A"	"2014QIII"	"Active population"	257.2
"Males"	"16 Cuenca"	"2014QIII"	"Active population"	56
"Females"	"16 Cuenca"	"2014QIII"	"Active population"	37
"Males"	"20 Gipuzkoa"	"2014QIII"	"Active population"	176
"Females"	"20 Gipuzkoa"	"2014QIII"	"Active population"	150.3
"Males"	"17 Girona"	"2014QIII"	"Active population"	215.7
"Females"	"17 Girona"	"2014QIII"	"Active population"	180.4
"Males"	"18 Granada"	"2014QIII"	"Active population"	243.4
"Females"	"18 Granada"	"2014QIII"	"Active population"	202.4
"Males"	"19 Guadalajara"	"2014QIII"	"Active population"	73.7
"Females"	"19 Guadalajara"	"2014QIII"	"Active population"	59.8
"Males"	"21 Huelva"	"2014QIII"	"Active population"	138
"Females"	"21 Huelva"	"2014QIII"	"Active population"	109.6
"Males"	"22 Huesca"	"2014QIII"	"Active population"	56.9
"Females"	"22 Huesca"	"2014QIII"	"Active population"	51.1
"Males"	"23 Jaén"	"2014QIII"	"Active population"	167.2
"Females"	"23 Jaén"	"2014QIII"	"Active population"	126.5
"Males"	"24 León"	"2014QIII"	"Active population"	117
"Females"	"24 León"	"2014QIII"	"Active population"	97.9
"Males"	"25 Lleida"	"2014QIII"	"Active population"	119.7
"Females"	"25 Lleida"	"2014QIII"	"Active population"	95.4
"Males"	"27 Lugo"	"2014QIII"	"Active population"	81.3
"Females"	"27 Lugo"	"2014QIII"	"Active population"	72.2
"Males"	"28 Madrid"	"2014QIII"	"Active population"	1739.9
"Females"	"28 Madrid"	"2014QIII"	"Active population"	1589.9
"Males"	"29 Málaga"	"2014QIII"	"Active population"	434.6
"Females"	"29 Málaga"	"2014QIII"	"Active population"	368.2
"Males"	"30 Murcia"	"2014QIII"	"Active population"	405.1
"Females"	"30 Murcia"	"2014QIII"	"Active population"	314.7
"Males"	"31 Navarra"	"2014QIII"	"Active population"	167.5
"Females"	"31 Navarra"	"2014QIII"	"Active population"	142.1
"Males"	"32 Ourense"	"2014QIII"	"Active population"	69.2
"Females"	"32 Ourense"	"2014QIII"	"Active population"	63.5
"Males"	"34 Palencia"	"2014QIII"	"Active population"	43.3
"Females"	"34 Palencia"	"2014QIII"	"Active population"	32.6
"Males"	"35 Palmas, Las"	"2014QIII"	"Active population"	309.1
"Females"	"35 Palmas, Las"	"2014QIII"	"Active population"	257.7
"Males"	"36 Pontevedra"	"2014QIII"	"Active population"	238.7
"Females"	"36 Pontevedra"	"2014QIII"	"Active population"	208.3
"Males"	"26 Rioja, La"	"2014QIII"	"Active population"	86
"Females"	"26 Rioja, La"	"2014QIII"	"Active population"	73.6
"Males"	"37 Salamanca"	"2014QIII"	"Active population"	84.9
"Females"	"37 Salamanca"	"2014QIII"	"Active population"	72.7
"Males"	"38 Santa Cruz de Tenerife"	"2014QIII"	"Active population"	275
"Females"	"38 Santa Cruz de Tenerife"	"2014QIII"	"Active population"	244.4
"Males"	"40 Segovia"	"2014QIII"	"Active population"	44.1
"Females"	"40 Segovia"	"2014QIII"	"Active population"	34.1
"Males"	"41 Sevilla"	"2014QIII"	"Active population"	502.9
"Females"	"41 Sevilla"	"2014QIII"	"Active population"	426.1
"Males"	"42 Soria"	"2014QIII"	"Active population"	24.6
"Females"	"42 Soria"	"2014QIII"	"Active population"	19.7
"Males"	"43 Tarragona"	"2014QIII"	"Active population"	227.9
"Females"	"43 Tarragona"	"2014QIII"	"Active population"	187.5
"Males"	"44 Teruel"	"2014QIII"	"Active population"	36.6
"Females"	"44 Teruel"	"2014QIII"	"Active population"	27.4
"Males"	"45 Toledo"	"2014QIII"	"Active population"	196.5
"Females"	"45 Toledo"	"2014QIII"	"Active population"	144.4
"Males"	"46 Valencia/València"	"2014QIII"	"Active population"	673.1
"Females"	"46 Valencia/València"	"2014QIII"	"Active population"	559.2
"Males"	"47 Valladolid"	"2014QIII"	"Active population"	138.7
"Females"	"47 Valladolid"	"2014QIII"	"Active population"	113.7
"Males"	"49 Zamora"	"2014QIII"	"Active population"	47.8
"Females"	"49 Zamora"	"2014QIII"	"Active population"	37.4
"Males"	"50 Zaragoza"	"2014QIII"	"Active population"	260.9
"Females"	"50 Zaragoza"	"2014QIII"	"Active population"	219
"Males"	"51 Ceuta"	"2014QIII"	"Active population"	24
"Females"	"51 Ceuta"	"2014QIII"	"Active population"	14.8
"Males"	"52 Melilla"	"2014QIII"	"Active population"	18.5
"Females"	"52 Melilla"	"2014QIII"	"Active population"	14.9
"Males"	"02 Albacete"	"2014QII"	"Active population"	103.3
"Females"	"02 Albacete"	"2014QII"	"Active population"	84.4
"Males"	"03 Alicante/Alacant"	"2014QII"	"Active population"	490.9
"Females"	"03 Alicante/Alacant"	"2014QII"	"Active population"	405.8
"Males"	"04 Almería"	"2014QII"	"Active population"	201.8
"Females"	"04 Almería"	"2014QII"	"Active population"	151.8
"Males"	"01 Araba/Álava"	"2014QII"	"Active population"	86.9
"Females"	"01 Araba/Álava"	"2014QII"	"Active population"	76.6
"Males"	"33 Asturias"	"2014QII"	"Active population"	247.3
"Females"	"33 Asturias"	"2014QII"	"Active population"	227.2
"Males"	"05 Ávila"	"2014QII"	"Active population"	43.7
"Females"	"05 Ávila"	"2014QII"	"Active population"	31.9
"Males"	"06 Badajoz"	"2014QII"	"Active population"	178.4
"Females"	"06 Badajoz"	"2014QII"	"Active population"	136.1
"Males"	"07 Balears, Illes"	"2014QII"	"Active population"	334.4
"Females"	"07 Balears, Illes"	"2014QII"	"Active population"	285.4
"Males"	"08 Barcelona"	"2014QII"	"Active population"	1448.6
"Females"	"08 Barcelona"	"2014QII"	"Active population"	1342.2
"Males"	"48 Bizkaia"	"2014QII"	"Active population"	286.9
"Females"	"48 Bizkaia"	"2014QII"	"Active population"	257.6
"Males"	"09 Burgos"	"2014QII"	"Active population"	102.1
"Females"	"09 Burgos"	"2014QII"	"Active population"	81.2
