^att_main_0^att_main_1^att_main_2^att_main_3^att_main_4^att_main_5^att_main_6^att_main_7^att_main_8^att_main_9^att_main_10^att_main_11^att_main_12^att_main_13^att_main_14^att_main_15^att_build_0^att_build_1^att_build_2^att_build_3^att_equipment_0^att_equipment_1^att_equipment_2^att_equipment_3^att_equipment_4^att_location_0^att_location_1^att_location_2^att_location_3^att_location_4^att_location_5^att_location_6^att_location_7^att_location_8^price
306849^ 85 m² construidos ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Certificación energética: no indicado ^^^^^^^^^^^^ Planta 4ª exterior ^ Sin ascensor ^^^^^^^^Calle Antonio Hernández, 16^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^120000
308485^ 140 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Trastero ^ Orientación norte, este, oeste ^ Certificación energética: en trámite ^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Jardín ^^^^^Calle Tamarindo, 24^ Distrito Coimbra - Guadarrama ^ Móstoles ^ Zona sur, Madrid ^^^^^^205000
317461^ 75 m² construidos ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Certificación energética: no indicado ^^^^^^^^^^^^ Planta 3ª exterior ^ Sin ascensor ^^^^^^^^Calle Valladolid, 13^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^174000
445402^ 200 m² construidos ^ 4 habitaciones ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Certificación energética: no indicado ^^^^^^^^^^^ Planta 5ª exterior ^ Con ascensor ^^^^^^^^Calle Juan de Juanes, 10^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^360000
1624550^ 140 m² construidos ^ 4 habitaciones ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética: no indicado ^^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Jardín ^^^^^Paseo de Mostoles, 49^ Urb. Parque Coimbra ^ Distrito Coimbra - Guadarrama ^ Móstoles ^ Zona sur, Madrid ^^^^^200000
1633219^ 70 m² construidos, 65 m² útiles ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^^ Planta 4ª exterior ^ Sin ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Calle Valladolid, 9^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^155000
1670047^ 70 m² construidos, 65 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Orientación sur, oeste ^ Certificación energética: no indicado ^^^^^^^^^^ Planta 2ª exterior ^ Sin ascensor ^^^ Jardín ^^^^^^^^^^^^^^140000
1695777^ 60 m² construidos, 57 m² útiles ^ 1 habitación ^ 1 baño ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación sur, oeste ^ Certificación energética: no indicado ^^^^^^^^^ Planta 3ª interior ^ Sin ascensor ^^^ Aire acondicionado ^^^^^Calle Zumalacarregui, 9^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^130000
1761554^ 99 m² construidos, 80 m² útiles ^ 3 habitaciones ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: no indicado ^^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Calle Nápoles, 29^ Urb. Si ^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^223000
1789435^ 76 m² construidos ^ 2 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación norte, este ^ Certificación energética: no indicado ^^^^^^^^^ Planta 9ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^Avenida Carlos V, 26^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^180000
1834421^ 74 m² construidos ^ 2 habitaciones ^ 1 baño ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^Calle Cartaya, 2^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^190000
1853719^ 90 m² construidos, 80 m² útiles ^ 2 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación norte, este, oeste ^ Certificación energética: no indicado ^^^^^^^^^ Planta 5ª exterior ^ Con ascensor ^^^^^^^^Calle Juan XXIII, 21^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^235000
1862526^ 116 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación norte, este, oeste ^ Certificación energética:  (IPE no indicado) ^^^^^^^^ Planta 9ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Calle Empecinado, 51^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^190000
1911796^ 115 m² construidos, 90 m² útiles ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación norte ^ Certificación energética: no indicado ^^^^^^^^^ Planta 6ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^Calle Azorín, 8^ Distrito El Soto - Coveta ^ Móstoles ^ Zona sur, Madrid ^^^^^^180000
2030707^ 110 m² construidos, 97 m² útiles ^ 3 habitaciones ^ 2 baños ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación sur ^ Certificación energética: no indicado ^^^^^^^^^ Planta 5ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Calle Rio Sella, 2^ Distrito Suroeste ^ Móstoles ^ Zona sur, Madrid ^^^^^^200000
