,att_main_0,att_main_1,att_main_2,att_main_3,att_main_4,att_main_5,att_main_6,att_main_7,att_main_8,att_main_9,att_main_10,att_main_11,att_main_12,att_main_13,att_main_14,att_main_15,att_build_0,att_build_1,att_build_2,att_build_3,att_equipment_0,att_equipment_1,att_equipment_2,att_equipment_3,att_equipment_4,att_location_0,att_location_1,att_location_2,att_location_3,att_location_4,att_location_5,att_location_6,att_location_7,att_location_8,price
37516332, 115 m² construidos , 4 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Trastero , Certificación energética:  (IPE no indicado) ,,,,,,,,, Planta 9ª exterior , Con ascensor ,,, Aire acondicionado , Piscina , Jardín ,,,Calle Calle de Pedro Rico, Barrio La Paz , Distrito Fuencarral , Madrid ," Madrid capital, Madrid ",,,,,609.600
39634030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39643368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39643361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39643347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39643342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39593403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39372288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39385726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
38960373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
38960369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
38960059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
38826089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39276117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39573243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
38769649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
