,att_main_0,att_main_1,att_main_2,att_main_3,att_main_4,att_main_5,att_main_6,att_main_7,att_main_8,att_main_9,att_main_10,att_main_11,att_main_12,att_main_13,att_main_14,att_main_15,att_build_0,att_build_1,att_build_2,att_build_3,att_equipment_0,att_equipment_1,att_equipment_2,att_equipment_3,att_equipment_4,att_location_0,att_location_1,att_location_2,att_location_3,att_location_4,att_location_5,att_location_6,att_location_7,att_location_8,price
39677752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
30650957," 72 m² construidos, 62 m² útiles ", 3 habitaciones , 1 baño , Segunda mano/buen estado , Certificación energética: en trámite ,,,,,,,,,,,, Planta 1ª exterior , Con ascensor ,,,,,,,,, Distrito Fuenlabrada II - El Molino , Fuenlabrada ," Zona sur, Madrid ",,,,,,117.500
39684128, 115 m² construidos , 3 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero , Certificación energética: en trámite ,,,,,,,, Planta 1ª exterior , Con ascensor ,,, Piscina , Jardín ,,,,Calle de Gazaperas, Distrito El Arroyo - La Fuente , Fuenlabrada ," Zona sur, Madrid ",,,,,,198.000
39694954," 92 m² construidos, 84 m² útiles ", 3 habitaciones , 1 baño , Segunda mano/buen estado , Armarios empotrados , Certificación energética:  (IPE no indicado) ,,,,,,,,,,, Planta 2ª exterior , Sin ascensor ,,, Aire acondicionado ,,,,,Calle de san andrés, Distrito Centro , Fuenlabrada ," Zona sur, Madrid ",,,,,,99.000
39694932," 90 m² construidos, 85 m² útiles ", 3 habitaciones , 1 baño , Segunda mano/para reformar , Armarios empotrados , Certificación energética:  (IPE no indicado) ,,,,,,,,,,, Planta 3ª exterior , Sin ascensor ,,,,,,,,Calle de móstoles, Distrito Centro , Fuenlabrada ," Zona sur, Madrid ",,,,,,87.260
39689536, 85 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Armarios empotrados , Construido en 1990 , Certificación energética: en trámite , Acceso adaptado a personas con movilidad reducida ,,,,,,,, Planta 7ª exterior , Con ascensor ,,,,,,,,Plaza miraflor, Distrito El Arroyo - La Fuente , Fuenlabrada ," Zona sur, Madrid ",,,,,,131.000
39689480, 85 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Construido en 1990 , Certificación energética: en trámite ,,,,,,,,,, Planta 1ª exterior , Con ascensor ,,, Jardín ,,,,, portuga, Distrito Fuenlabrada II - El Molino , Fuenlabrada ," Zona sur, Madrid ",,,,,,138.900
39693813, 87 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Certificación energética: en trámite ,,,,,,,,,,, Planta 2ª exterior , Con ascensor ,,,,,,,, Callao, Distrito La Avanzada - La Cueva , Fuenlabrada ," Zona sur, Madrid ",,,,,,134.000
39685845," 100 m² construidos, 84 m² útiles ", 3 habitaciones , 1 baño , Terraza , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Orientación este , Construido en 1976 , Certificación energética: en trámite ,,,,,,,, Planta 3ª exterior , Sin ascensor ,,,,,,,, Leganes, Distrito Centro , Fuenlabrada ," Zona sur, Madrid ",,,,,,122.000
39690588," 92 m² construidos, 78 m² útiles ", 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Armarios empotrados , Certificación energética: en trámite ,,,,,,,,,, Planta 5ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,, Distrito Fuenlabrada II - El Molino , Fuenlabrada ," Zona sur, Madrid ",,,,,,140.000
39677527, 65 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Construido en 1968 , Certificación energética: en trámite ,,,,,,,,,, Planta 4ª exterior , Sin ascensor ,,, Aire acondicionado ,,,,, MIRASIERRA, Distrito La Serna , Fuenlabrada ," Zona sur, Madrid ",,,,,,88.000
39688029, 95 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Armarios empotrados , Trastero , Construido en 1980 , Certificación energética: en trámite ,,,,,,,, Planta 8ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,Calle austria, Distrito Fuenlabrada II - El Molino , Fuenlabrada ," Zona sur, Madrid ",,,,,,135.000
39686145, 90 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Construido en 1980 , Certificación energética: en trámite ,,,,,,,,,, Planta 3ª exterior , Con ascensor ,,,,,,,, austria, Distrito Fuenlabrada II - El Molino , Fuenlabrada ," Zona sur, Madrid ",,,,,,124.000
39689922, 91 m² construidos , 3 habitaciones , 1 baño , Segunda mano/buen estado , Certificación energética: en trámite ,,,,,,,,,,,, Planta 4ª exterior , Con ascensor ,,,,,,,," suiza, 3", Distrito Centro , Fuenlabrada ," Zona sur, Madrid ",,,,,,115.623
39690705, 90 m² construidos , 3 habitaciones , 2 baños , Terraza , Segunda mano/buen estado , Trastero , Certificación energética: en trámite ,,,,,,,,,, Planta 1ª exterior , Con ascensor ,,,,,,,,, Distrito La Avanzada - La Cueva , Fuenlabrada ," Zona sur, Madrid ",,,,,,124.900
39690616, 75 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/para reformar , Trastero , Certificación energética: en trámite ,,,,,,,,,, Planta 1ª exterior , Sin ascensor ,,,,,,,,, Distrito La Avanzada - La Cueva , Fuenlabrada ," Zona sur, Madrid ",,,,,,122.000
39686983," 80 m² construidos, 75 m² útiles ", 3 habitaciones , 1 baño , Segunda mano/buen estado , Trastero , Certificación energética: en trámite ,,,,,,,,,,, Planta 4ª exterior , Sin ascensor ,,,,,,,, mirasierra, Distrito La Serna , Fuenlabrada ," Zona sur, Madrid ",,,,,,80.000
39690482, 70 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Certificación energética: en trámite ,,,,,,,,,,, Planta 4ª exterior , Sin ascensor ,,, Aire acondicionado ,,,,,, Distrito La Avanzada - La Cueva , Fuenlabrada ," Zona sur, Madrid ",,,,,,99.900
39690420, 50 m² construidos , Sin habitación , 1 baño , Segunda mano/buen estado , Armarios empotrados , Certificación energética: en trámite ,,,,,,,,,,, Bajo exterior , Sin ascensor ,,,,,,,,, Distrito Centro , Fuenlabrada ," Zona sur, Madrid ",,,,,,84.900
39687826, 72 m² construidos , 3 habitaciones , 1 baño , Balcón , Segunda mano/buen estado , Certificación energética:  (IPE no indicado) ,,,,,,,,,,, Planta 4ª exterior , Sin ascensor ,,,,,,,,Calle Islas Británicas, Distrito Fuenlabrada II - El Molino , Fuenlabrada ," Zona sur, Madrid ",,,,,,145.200
39694650," 80 m² construidos, 77 m² útiles ", 2 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Armarios empotrados ," Orientación este, oeste ", Construido en 1995 , Certificación energética: en trámite , Vivienda apta para su uso por personas con movilidad reducida ,,,,,,, Planta 6ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,, Distrito La Avanzada - La Cueva , Fuenlabrada ," Zona sur, Madrid ",,,,,,147.000
39686124," 55 m² construidos, 45 m² útiles ", 1 habitación , 1 baño , Segunda mano/buen estado , Armarios empotrados , Certificación energética: en trámite , Vivienda apta para su uso por personas con movilidad reducida ,,,,,,,,,, Bajo exterior , Sin ascensor ,,,,,,,,, Distrito Centro , Fuenlabrada ," Zona sur, Madrid ",,,,,,80.000
39672291, 80 m² construidos , 3 habitaciones , 1 baño , Terraza , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Certificación energética:  (324 kWh/m² año) ,,,,,,,,,, Planta 2ª exterior , Con ascensor ,,, Aire acondicionado ,,,,, Aldehuela, Distrito El Arroyo - La Fuente , Fuenlabrada ," Zona sur, Madrid ",,,,,,125.000
39687586," 110 m² construidos, 96 m² útiles ", 4 habitaciones , 2 baños , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero , Construido en 2018 , Certificación energética: en trámite ,,,,,,,, Planta 6ª exterior , Con ascensor ,,,,,,,,Urb. SI, Urb. SI , Distrito El Arroyo - La Fuente , Fuenlabrada ," Zona sur, Madrid ",,,,,213.550
39687105, 102 m² construidos , 3 habitaciones , 2 baños , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero , Construido en 2018 , Certificación energética: en trámite ,,,,,,,, Planta 2ª exterior , Con ascensor ,,,,,,,,Urb. SI, Urb. SI , Distrito Centro , Fuenlabrada ," Zona sur, Madrid ",,,,,177.600
39671852," 101 m² construidos, 87 m² útiles ", 4 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados ," Orientación norte, sur, oeste ", Construido en 2010 , Certificación energética: en trámite ,,,,,,, Planta 6ª exterior , Con ascensor ,,,,,,,,Avenida del Hospital, Distrito Universidad - Hospital , Fuenlabrada ," Zona sur, Madrid ",,,,,,275.000
39666235, 80 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Armarios empotrados , Trastero , Certificación energética: en trámite ,,,,,,,,, Planta 1ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,, Distrito La Avanzada - La Cueva , Fuenlabrada ," Zona sur, Madrid ",,,,,,130.900
39671517, 50 m² construidos , Sin habitación , 1 baño , Segunda mano/buen estado , Armarios empotrados , Certificación energética: en trámite ,,,,,,,,,,, Bajo exterior , Sin ascensor ,,,,,,,,, Distrito Centro , Fuenlabrada ," Zona sur, Madrid ",,,,,,85.000
