,att_main_0,att_main_1,att_main_2,att_main_3,att_main_4,att_main_5,att_main_6,att_main_7,att_main_8,att_main_9,att_main_10,att_main_11,att_main_12,att_main_13,att_main_14,att_main_15,att_build_0,att_build_1,att_build_2,att_build_3,att_equipment_0,att_equipment_1,att_equipment_2,att_equipment_3,att_equipment_4,att_location_0,att_location_1,att_location_2,att_location_3,att_location_4,att_location_5,att_location_6,att_location_7,att_location_8,price
39161355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39645652, 85 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/para reformar , Certificación energética: en trámite ,,,,,,,,,,, Planta 9ª exterior , Con ascensor ,,, Aire acondicionado ,,,,, Avenida Juan Carlos I, Barrio Zarzaquemada , Distrito Zarzaquemada , Leganés ," Zona sur, Madrid ",,,,,169.900
35116923, 135 m² construidos , 3 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Armarios empotrados , Trastero , Certificación energética de proyecto: no indicado ,,,,,,,,, exterior , Con ascensor ,,, Piscina ,,,,,"Calle Torroja, 11", Distrito El Rosón - Kelvinator , Getafe ," Zona sur, Madrid ",,,,,,246.000
39593238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
35996979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
38969348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39586819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39615289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39112370, 144 m² construidos , 3 habitaciones , 2 baños , Plaza de garaje incluida en el precio , Trastero , Certificación energética: no indicado ,,,,,,,,,,, , Con ascensor ,,,,,,,,"Calle sierra, 7", Urb. Edificio Sierra , Distrito San Isidro , Getafe ," Zona sur, Madrid ",,,,,391.700
39112369, 136 m² construidos , 3 habitaciones , 2 baños , Plaza de garaje incluida en el precio , Trastero , Certificación energética: no indicado ,,,,,,,,,,, Planta 2ª , Con ascensor ,,,,,,,,"Calle sierra, 7", Urb. Edificio Sierra , Distrito San Isidro , Getafe ," Zona sur, Madrid ",,,,,312.600
39112368, 151 m² construidos , 3 habitaciones , 2 baños , Plaza de garaje incluida en el precio , Trastero , Certificación energética: no indicado ,,,,,,,,,,, Planta 2ª , Con ascensor ,,,,,,,,"Calle sierra, 7", Urb. Edificio Sierra , Distrito San Isidro , Getafe ," Zona sur, Madrid ",,,,,355.000
39112367, 129 m² construidos , 3 habitaciones , 2 baños , Plaza de garaje incluida en el precio , Trastero , Certificación energética: no indicado ,,,,,,,,,,, Planta 1ª , Con ascensor ,,,,,,,,"Calle sierra, 7", Urb. Edificio Sierra , Distrito San Isidro , Getafe ," Zona sur, Madrid ",,,,,317.400
39112366, 114 m² construidos , 3 habitaciones , 2 baños , Plaza de garaje incluida en el precio , Trastero , Certificación energética: no indicado ,,,,,,,,,,, Planta 1ª , Con ascensor ,,,,,,,,"Calle sierra, 7", Urb. Edificio Sierra , Distrito San Isidro , Getafe ," Zona sur, Madrid ",,,,,267.400
39112365, 151 m² construidos , 3 habitaciones , 2 baños , Plaza de garaje incluida en el precio , Trastero , Certificación energética: no indicado ,,,,,,,,,,, Planta 1ª , Con ascensor ,,,,,,,,"Calle sierra, 7", Urb. Edificio Sierra , Distrito San Isidro , Getafe ," Zona sur, Madrid ",,,,,355.000
39112364, 170 m² construidos , 3 habitaciones , 2 baños , Plaza de garaje incluida en el precio , Trastero , Certificación energética: no indicado ,,,,,,,,,,, Bajo , Con ascensor ,,,,,,,,"Calle sierra, 7", Urb. Edificio Sierra , Distrito San Isidro , Getafe ," Zona sur, Madrid ",,,,,354.800
39112363, 85 m² construidos , 2 habitaciones , 2 baños , Plaza de garaje incluida en el precio , Trastero , Certificación energética:  (IPE no indicado) ,,,,,,,,,,, Bajo , Con ascensor ,,,,,,,,"Calle sierra, 7", Urb. Edificio Sierra , Distrito San Isidro , Getafe ," Zona sur, Madrid ",,,,,169.200
38604215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
36627593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
37086764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39336666," 77 m² construidos, 65 m² útiles ", 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Orientación sur , Construido en 1968 , Certificación energética: en trámite ,,,,,,,,, Planta 2ª exterior , Sin ascensor ,,,,,,,, Oeste, Distrito San Isidro , Getafe ," Zona sur, Madrid ",,,,,,105.000
38384227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
36377319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39600645, 52 m² construidos , 2 habitaciones , 1 baño , Certificación energética: no indicado ,,,,,,,,,,,,, Planta 4ª , Sin ascensor ,,,,,,,,Avenida general palacio, Urb. Piso en Avda. General Palacio , Distrito Getafe Centro , Getafe ," Zona sur, Madrid ",,,,,116.000
39532267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39197996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39430457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
38883379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
38628472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
38693630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
38197929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
37697433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39592745," 79 m² construidos, 63 m² útiles ", 3 habitaciones , 1 baño , Segunda mano/buen estado , Certificación energética: en trámite ,,,,,,,,,,,, Planta 3ª , Con ascensor ,,,,,,,,Calle ciudad real, Distrito San Isidro , Getafe ," Zona sur, Madrid ",,,,,,76.000
28822767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39327121," 162 m² construidos, 124 m² útiles ", 4 habitaciones , 2 baños , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero , Orientación sur , Certificación energética: en trámite ,,,,,,,, Planta 6ª exterior , Con ascensor ,,, Aire acondicionado , Piscina , Jardín ,,,"Calle Camerún, 4", Distrito El Bercial , Getafe ," Zona sur, Madrid ",,,,,,479.000
39289077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
38222473, 155 m² construidos , 4 habitaciones , 3 baños , Terraza , Plaza de garaje por 25.000 eur adicionales , Segunda mano/buen estado , Armarios empotrados , Trastero , Construido en 1991 , Certificación energética: en trámite ,,,,,,, Planta 2ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,Avenida General Palacio, Distrito Getafe Centro , Getafe ," Zona sur, Madrid ",,,,,,335.000
38140920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39045640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39597788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39437359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
38974496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
38827252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
37565823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
37830175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
37686859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39744037, 100 m² construidos , 3 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero , Orientación sur , Certificación energética: en trámite ,,,,,,, Planta 6ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,, Distrito El Bercial , Getafe ," Zona sur, Madrid ",,,,,,279.990
39747179," 105 m² construidos, 86 m² útiles ", 3 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero , Orientación sur , Construido en 2007 ," Certificación energética:  (29,58 kWh/m² año) ", Acceso adaptado a personas con movilidad reducida , Vivienda apta para su uso por personas con movilidad reducida ,,,, Planta 2ª exterior , Con ascensor ,,,,,,,, Vanezuela, Distrito El Bercial , Getafe ," Zona sur, Madrid ",,,,,,220.000
39745449, 67 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Orientación sur , Certificación energética: en trámite ,,,,,,,,,, Planta 4ª exterior , Sin ascensor ,,,,,,,,, Distrito Juan de la Cierva , Getafe ," Zona sur, Madrid ",,,,,,124.990
39737532, 104 m² construidos , 4 habitaciones , 2 baños , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Certificación energética: en trámite ,,,,,,,,,, Planta 11ª exterior , Con ascensor ,,, Aire acondicionado ,,,,, Francisco Fernandez Ordoñez, Distrito Getafe norte , Getafe ," Zona sur, Madrid ",,,,,,215.000
