,att_main_0,att_main_1,att_main_2,att_main_3,att_main_4,att_main_5,att_main_6,att_main_7,att_main_8,att_main_9,att_main_10,att_main_11,att_main_12,att_main_13,att_main_14,att_main_15,att_build_0,att_build_1,att_build_2,att_build_3,att_equipment_0,att_equipment_1,att_equipment_2,att_equipment_3,att_equipment_4,att_location_0,att_location_1,att_location_2,att_location_3,att_location_4,att_location_5,att_location_6,att_location_7,att_location_8,price
39677448," 76 m² construidos, 62 m² útiles ", 3 habitaciones , 1 baño , Terraza , Segunda mano/para reformar , Armarios empotrados , Orientación oeste , Construido en 1974 , Certificación energética: en trámite ,,,,,,,, Planta 4ª exterior , Con ascensor ,,, Jardín ,,,,, Rioja, Barrio Zarzaquemada , Distrito Zarzaquemada , Leganés ," Zona sur, Madrid ",,,,,132.000
39687831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39672367, 73 m² construidos , 3 habitaciones , 1 baño , Segunda mano/buen estado , Certificación energética: en trámite ,,,,,,,,,,,, Planta 3ª exterior , Sin ascensor ,,,,,,,, Río Gallego, Barrio San Nicasio , Distrito San Nicasio - Campo de Tiro - Solagua , Leganés ," Zona sur, Madrid ",,,,,99.000
39652384," 148 m² construidos, 140 m² útiles ", 4 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero , Orientación este , Construido en 1975 , Certificación energética:  (IPE no indicado) ,,,,,, Planta 1ª exterior , Con ascensor ,,, Aire acondicionado ,,,,, El Salvador, Barrio Casco Antiguo , Distrito Centro , Leganés ," Zona sur, Madrid ",,,,,299.900
39689483," 152 m² construidos, 119 m² útiles ", 4 habitaciones , 3 baños , Terraza , Balcón , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados ," Orientación norte, sur ", Construido en 1996 , Certificación energética: en trámite , Acceso adaptado a personas con movilidad reducida ,,,,, Planta 3ª exterior , Con ascensor ,,, Aire acondicionado , Piscina , Jardín ,,, CONDE DE BARCELONA, Barrio Valdepelayo-Montepinos-Arroyo Culebro , Distrito Valdepelayo - Montepinos - Arroyo Culebro , Leganés ," Zona sur, Madrid ",,,,,335.000
39684001, 196 m² construidos , 6 habitaciones , 3 baños , Terraza , Plaza de garaje incluida en el precio , Segunda mano/para reformar , Armarios empotrados , Trastero , Certificación energética: en trámite ,,,,,,,, Planta 3ª exterior , Con ascensor ,,, Aire acondicionado , Piscina , Jardín ,,,"Calle de Flora Tristán, 10", Barrio Leganés norte , Distrito Leganés norte , Leganés ," Zona sur, Madrid ",,,,,370.000
39690842," 82 m² construidos, 70 m² útiles ", 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Trastero , Orientación oeste , Construido en 1973 , Certificación energética: en trámite ,,,,,,,, Planta 5ª exterior , Con ascensor ,,, Aire acondicionado , Jardín ,,,,Urb. Zarzaquemada, Urb. Zarzaquemada , Barrio Zarzaquemada , Distrito Zarzaquemada , Leganés ," Zona sur, Madrid ",,,,143.700
39691212, 70 m² construidos , 2 habitaciones , 2 baños , Segunda mano/buen estado , Armarios empotrados , Certificación energética: en trámite ,,,,,,,,,,, Planta 8ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,, Barrio Zarzaquemada , Distrito Zarzaquemada , Leganés ," Zona sur, Madrid ",,,,,155.900
39684926, 120 m² construidos , 4 habitaciones , 2 baños , Terraza , Segunda mano/buen estado , Armarios empotrados , Trastero , Certificación energética: en trámite ,,,,,,,,, Planta 1ª exterior , Con ascensor ,,, Jardín ,,,,,, Barrio El Carrascal , Distrito El Carrascal , Leganés ," Zona sur, Madrid ",,,,,223.500
39686067, 116 m² construidos , 3 habitaciones , 2 baños , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Construido en 2018 , Certificación energética: en trámite ,,,,,,,,, Planta 3ª exterior , Con ascensor ,,,,,,,,, Barrio La Fortuna , Distrito La Fortuna , Leganés ," Zona sur, Madrid ",,,,,187.897
