,att_main_0,att_main_1,att_main_2,att_main_3,att_main_4,att_main_5,att_main_6,att_main_7,att_main_8,att_main_9,att_main_10,att_main_11,att_main_12,att_main_13,att_main_14,att_main_15,att_build_0,att_build_1,att_build_2,att_build_3,att_equipment_0,att_equipment_1,att_equipment_2,att_equipment_3,att_equipment_4,att_location_0,att_location_1,att_location_2,att_location_3,att_location_4,att_location_5,att_location_6,att_location_7,att_location_8,price
38660760, 104 m² construidos , 3 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Promoción de obra nueva , Trastero , Certificación energética de proyecto:  (IPE no indicado) ,,,,,,,,, Planta 5ª exterior , Con ascensor ,,, Piscina , Jardín ,,,,"Avenida Abogados de Atocha, 7", Distrito Norte - Universidad , Móstoles ," Zona sur, Madrid ",,,,,,[None]
38660766, 104 m² construidos , 3 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Promoción de obra nueva , Trastero , Certificación energética de proyecto:  (IPE no indicado) ,,,,,,,,, Planta 5ª exterior , Con ascensor ,,, Piscina , Jardín ,,,,"Avenida Abogados de Atocha, 7", Distrito Norte - Universidad , Móstoles ," Zona sur, Madrid ",,,,,,458.000
39341875," 85 m² construidos, 75 m² útiles ", 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Armarios empotrados , Certificación energética: no indicado ,,,,,,,,,, Planta 5ª exterior , Con ascensor ,,, Aire acondicionado ,,,,," LIBERTAD, 12", Distrito Este , Móstoles ," Zona sur, Madrid ",,,,,,293.000
39604263, 78 m² construidos , 3 habitaciones , 1 baño , Segunda mano/buen estado , Armarios empotrados , Orientación este , Certificación energética: en trámite ,,,,,,,,,, Planta 5ª exterior , Sin ascensor ,,, Aire acondicionado , Jardín ,,,,, Distrito Centro , Móstoles ," Zona sur, Madrid ",,,,,,106.000
39621238," 95 m² construidos, 87 m² útiles ", 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Armarios empotrados , Trastero , Certificación energética: en trámite ,,,,,,,,, Planta 9ª exterior , Con ascensor ,,,,,,,,Plaza de Nicaragua, Distrito Este , Móstoles ," Zona sur, Madrid ",,,,,,245.000
39622518," 87 m² construidos, 70 m² útiles ", 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Armarios empotrados , Certificación energética: en trámite ,,,,,,,,,, Planta 6ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,,,,,,,,,,232.000
39633703, 87 m² construidos , 3 habitaciones , 1 baño , Segunda mano/buen estado , Trastero , Certificación energética: en trámite ,,,,,,,,,,, Planta 1ª exterior , Sin ascensor ,,,,,,,,"Avenida de Portugal, 19", Distrito Este , Móstoles ," Zona sur, Madrid ",,,,,,245.000
39644871, 180 m² construidos , 2 habitaciones , 2 baños , Trastero , Certificación energética: en trámite ,,,,,,,,,,,, exterior , Con ascensor ,,,,,,,,Calle de tolimán, Distrito Sur , Móstoles ," Zona sur, Madrid ",,,,,,170.200
39645917, 240 m² construidos , 4 habitaciones , 2 baños , Terraza , Segunda mano/buen estado , Armarios empotrados ," Certificación energética:  (180,03 kWh/m² año) ", Acceso adaptado a personas con movilidad reducida ,,,,,,,,, Planta 5ª exterior , Con ascensor ,,,,,,,,Calle de Juan de Juanes, Distrito Norte - Universidad , Móstoles ," Zona sur, Madrid ",,,,,,94.900
39647015, 120 m² construidos , 4 habitaciones , 2 baños , Terraza , Segunda mano/buen estado , Armarios empotrados , Orientación sur , Construido en 1977 , Certificación energética: en trámite ,,,,,,,, Planta 3ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,, Distrito Norte - Universidad , Móstoles ," Zona sur, Madrid ",,,,,,89.900
39647982," 89 m² construidos, 80 m² útiles ", 3 habitaciones , 1 baño , Segunda mano/buen estado , Certificación energética: en trámite ,,,,,,,,,,,, Bajo exterior , Sin ascensor ,,,,,,,,, Distrito Este , Móstoles ," Zona sur, Madrid ",,,,,,159.900
39648044," 84 m² construidos, 70 m² útiles ", 3 habitaciones , 1 baño , Segunda mano/buen estado , Certificación energética: en trámite ,,,,,,,,,,,, Planta 1ª interior , Sin ascensor ,,,,,,,,, Distrito Centro , Móstoles ," Zona sur, Madrid ",,,,,,219.900
39649245, 150 m² construidos , 4 habitaciones , 3 baños , Terraza , Segunda mano/buen estado , Armarios empotrados , Certificación energética: no indicado ,,,,,,,,,, Planta 4ª exterior , Con ascensor ,,, Piscina , Jardín ,,,,"Avenida de Iker Casillas, 30", Distrito El Soto - Coveta , Móstoles ," Zona sur, Madrid ",,,,,,166.000
39650019," 118 m² construidos, 105 m² útiles ", 4 habitaciones , 2 baños , Terraza , Trastero , Certificación energética:  (IPE no indicado) ,,,,,,,,,,, , Sin ascensor ,,,,,,,,, Distrito Coimbra - Guadarrama , Móstoles ," Zona sur, Madrid ",,,,,,198.000
39650617," 70 m² construidos, 61 m² útiles ", 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Certificación energética: en trámite ,,,,,,,,,,, Planta 2ª exterior , Con ascensor ,,, Aire acondicionado ,,,,, Cervantes, Distrito Norte - Universidad , Móstoles ," Zona sur, Madrid ",,,,,,238.000
39650791, 131 m² construidos , 3 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Promoción de obra nueva , Trastero , Certificación energética de proyecto: no indicado ,,,,,,,,, Planta 5ª exterior , Con ascensor ,,, Piscina , Jardín ,,,,"Calle Abogados de Atocha, 4", Distrito Norte - Universidad , Móstoles ," Zona sur, Madrid ",,,,,,189.900
39650793, 72 m² construidos , 2 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Promoción de obra nueva , Trastero , Certificación energética de proyecto: no indicado ,,,,,,,,, Planta 5ª exterior , Con ascensor ,,, Piscina , Jardín ,,,,"Calle Abogados de Atocha, 4", Distrito Norte - Universidad , Móstoles ," Zona sur, Madrid ",,,,,,149.900
39650803, 168 m² construidos , 3 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Promoción de obra nueva , Trastero , Certificación energética de proyecto: no indicado ,,,,,,,,, Planta 3ª exterior , Con ascensor ,,, Piscina , Jardín ,,,,"Calle Abogados de Atocha, 4", Distrito Norte - Universidad , Móstoles ," Zona sur, Madrid ",,,,,,176.500
39650804, 163 m² construidos , 4 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Promoción de obra nueva , Trastero , Certificación energética de proyecto: no indicado ,,,,,,,,, Planta 4ª exterior , Con ascensor ,,, Piscina , Jardín ,,,,"Calle Abogados de Atocha, 4", Distrito Norte - Universidad , Móstoles ," Zona sur, Madrid ",,,,,,179.900
39650805, 88 m² construidos , 3 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Promoción de obra nueva , Trastero , Certificación energética de proyecto: no indicado ,,,,,,,,, Planta 1ª exterior , Con ascensor ,,, Piscina , Jardín ,,,,"Calle Abogados de Atocha, 4", Distrito Norte - Universidad , Móstoles ," Zona sur, Madrid ",,,,,,158.900
39650864, 139 m² construidos , 4 habitaciones , 3 baños , Terraza , Plaza de garaje incluida en el precio , Promoción de obra nueva , Trastero , Certificación energética de proyecto: no indicado ,,,,,,,,, Planta 5ª exterior , Con ascensor ,,, Piscina , Jardín ,,,,"Calle Abogados de Atocha, 4", Distrito Norte - Universidad , Móstoles ," Zona sur, Madrid ",,,,,,183.000
39650865, 229 m² construidos , 4 habitaciones , 3 baños , Terraza , Plaza de garaje incluida en el precio , Promoción de obra nueva , Trastero , Certificación energética de proyecto: no indicado ,,,,,,,,, Planta 6ª exterior , Con ascensor ,,, Piscina , Jardín ,,,,"Calle Abogados de Atocha, 4", Distrito Norte - Universidad , Móstoles ," Zona sur, Madrid ",,,,,,159.900
39650866, 163 m² construidos , 4 habitaciones , 3 baños , Terraza , Plaza de garaje incluida en el precio , Promoción de obra nueva , Trastero , Certificación energética de proyecto: no indicado ,,,,,,,,, Planta 6ª exterior , Con ascensor ,,, Piscina , Jardín ,,,,"Calle Abogados de Atocha, 4", Distrito Norte - Universidad , Móstoles ," Zona sur, Madrid ",,,,,,129.900
39650867, 265 m² construidos , 4 habitaciones , 3 baños , Terraza , Plaza de garaje incluida en el precio , Promoción de obra nueva , Trastero , Certificación energética de proyecto: no indicado ,,,,,,,,, Planta 7ª exterior , Con ascensor ,,, Piscina , Jardín ,,,,"Calle Abogados de Atocha, 4", Distrito Norte - Universidad , Móstoles ," Zona sur, Madrid ",,,,,,269.900
39650868, 98 m² construidos , 3 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Promoción de obra nueva , Trastero , Certificación energética de proyecto: no indicado ,,,,,,,,, Planta 7ª exterior , Con ascensor ,,, Piscina , Jardín ,,,,"Calle Abogados de Atocha, 4", Distrito Norte - Universidad , Móstoles ," Zona sur, Madrid ",,,,,,178.900
39650908, 179 m² construidos , 4 habitaciones , 3 baños , Terraza , Plaza de garaje incluida en el precio , Promoción de obra nueva , Trastero , Certificación energética de proyecto: no indicado ,,,,,,,,, Planta 8ª exterior , Con ascensor ,,, Piscina , Jardín ,,,,"Calle Abogados de Atocha, 4", Distrito Norte - Universidad , Móstoles ," Zona sur, Madrid ",,,,,,149.900
