Year,Cuat,tasa.paro,Genero,prov,Provincias
2011,1,10.792349726776,Mujeres,01,Araba/Álava
2011,2,9.34844192634561,Mujeres,01,Araba/Álava
2011,3,10.9530583214794,Mujeres,01,Araba/Álava
2011,4,12.9166666666667,Mujeres,01,Araba/Álava
2012,1,16.2589928057554,Mujeres,01,Araba/Álava
2012,2,14.7426981919332,Mujeres,01,Araba/Álava
2012,3,15.7608695652174,Mujeres,01,Araba/Álava
2012,4,18.75,Mujeres,01,Araba/Álava
2013,1,18.0836707152497,Mujeres,01,Araba/Álava
2013,2,16.1073825503356,Mujeres,01,Araba/Álava
2013,3,16.914749661705,Mujeres,01,Araba/Álava
2013,4,17.6781002638522,Mujeres,01,Araba/Álava
2014,1,20,Mujeres,01,Araba/Álava
2014,2,16.9712793733682,Mujeres,01,Araba/Álava
2014,3,19.2982456140351,Mujeres,01,Araba/Álava
2014,4,18.4516129032258,Mujeres,01,Araba/Álava
2011,1,26.6044340723454,Mujeres,02,Albacete
2011,2,27.7840269966254,Mujeres,02,Albacete
2011,3,27.3340832395951,Mujeres,02,Albacete
2011,4,26.9144144144144,Mujeres,02,Albacete
2012,1,33.1073446327684,Mujeres,02,Albacete
2012,2,37.8571428571429,Mujeres,02,Albacete
2012,3,36.3522012578616,Mujeres,02,Albacete
2012,4,41.1622276029056,Mujeres,02,Albacete
2013,1,37.0720188902007,Mujeres,02,Albacete
2013,2,33.2941176470588,Mujeres,02,Albacete
2013,3,34.4827586206897,Mujeres,02,Albacete
2013,4,33.8842975206612,Mujeres,02,Albacete
2014,1,27.3153575615475,Mujeres,02,Albacete
2014,2,25.5924170616114,Mujeres,02,Albacete
2014,3,27.8313253012048,Mujeres,02,Albacete
2014,4,31.497005988024,Mujeres,02,Albacete
2011,1,22.4186523187292,Mujeres,03,Alicante/Alacant
2011,2,22.0317620368036,Mujeres,03,Alicante/Alacant
2011,3,25.2873563218391,Mujeres,03,Alicante/Alacant
2011,4,25.7617728531856,Mujeres,03,Alicante/Alacant
2012,1,29.7119757453259,Mujeres,03,Alicante/Alacant
2012,2,27.5730622617535,Mujeres,03,Alicante/Alacant
2012,3,28.8968518044535,Mujeres,03,Alicante/Alacant
2012,4,30.4324754576811,Mujeres,03,Alicante/Alacant
2013,1,32.7695026508458,Mujeres,03,Alicante/Alacant
2013,2,31.4810158410863,Mujeres,03,Alicante/Alacant
2013,3,29.6360485268631,Mujeres,03,Alicante/Alacant
2013,4,33.3170493404983,Mujeres,03,Alicante/Alacant
2014,1,31.270116365437,Mujeres,03,Alicante/Alacant
2014,2,27.3780187284377,Mujeres,03,Alicante/Alacant
2014,3,25.9462151394422,Mujeres,03,Alicante/Alacant
2014,4,26.1349385502884,Mujeres,03,Alicante/Alacant
2011,1,32.6850690087829,Mujeres,04,Almería
2011,2,38.4313725490196,Mujeres,04,Almería
2011,3,37.2990353697749,Mujeres,04,Almería
2011,4,32.3289391086001,Mujeres,04,Almería
2012,1,32.8692493946731,Mujeres,04,Almería
2012,2,34.6547314578005,Mujeres,04,Almería
2012,3,37.1518987341772,Mujeres,04,Almería
2012,4,36.7704280155642,Mujeres,04,Almería
2013,1,35.4858934169279,Mujeres,04,Almería
2013,2,34.8436502871729,Mujeres,04,Almería
2013,3,41.1440385940731,Mujeres,04,Almería
2013,4,38.1948986265533,Mujeres,04,Almería
2014,1,34.1100323624596,Mujeres,04,Almería
2014,2,41.1067193675889,Mujeres,04,Almería
2014,3,41.4814814814815,Mujeres,04,Almería
2014,4,38.5750962772786,Mujeres,04,Almería
2011,1,28.4789644012945,Mujeres,05,Ávila
2011,2,23.5668789808917,Mujeres,05,Ávila
2011,3,24.7648902821317,Mujeres,05,Ávila
2011,4,24.5283018867925,Mujeres,05,Ávila
2012,1,26.984126984127,Mujeres,05,Ávila
2012,2,27.9503105590062,Mujeres,05,Ávila
2012,3,26.219512195122,Mujeres,05,Ávila
2012,4,25.0793650793651,Mujeres,05,Ávila
2013,1,30.7926829268293,Mujeres,05,Ávila
2013,2,29.073482428115,Mujeres,05,Ávila
2013,3,27.6595744680851,Mujeres,05,Ávila
2013,4,28.3536585365854,Mujeres,05,Ávila
2014,1,34.0557275541796,Mujeres,05,Ávila
2014,2,31.0344827586207,Mujeres,05,Ávila
2014,3,26.9230769230769,Mujeres,05,Ávila
2014,4,27.6190476190476,Mujeres,05,Ávila
2011,1,31.057268722467,Mujeres,06,Badajoz
2011,2,29.4545454545455,Mujeres,06,Badajoz
2011,3,28.9156626506024,Mujeres,06,Badajoz
2011,4,35.9030837004405,Mujeres,06,Badajoz
2012,1,35.5195283714075,Mujeres,06,Badajoz
2012,2,39.6268656716418,Mujeres,06,Badajoz
2012,3,37.0264474624732,Mujeres,06,Badajoz
2012,4,39.8224043715847,Mujeres,06,Badajoz
2013,1,36.8384879725086,Mujeres,06,Badajoz
2013,2,36.8275862068966,Mujeres,06,Badajoz
2013,3,36.1285814116003,Mujeres,06,Badajoz
2013,4,37.6577840112202,Mujeres,06,Badajoz
2014,1,37.3913043478261,Mujeres,06,Badajoz
2014,2,35.5620867009552,Mujeres,06,Badajoz
2014,3,34.6637102734664,Mujeres,06,Badajoz
2014,4,34.9344978165939,Mujeres,06,Badajoz
2011,1,26.4201296225696,Mujeres,07,"Balears, Illes"
2011,2,18.5457216305545,Mujeres,07,"Balears, Illes"
2011,3,15.6195156195156,Mujeres,07,"Balears, Illes"
2011,4,25.1326762699014,Mujeres,07,"Balears, Illes"
2012,1,29.0025763709974,Mujeres,07,"Balears, Illes"
2012,2,23.2204561161023,Mujeres,07,"Balears, Illes"
2012,3,20.1016949152542,Mujeres,07,"Balears, Illes"
2012,4,24.3351548269581,Mujeres,07,"Balears, Illes"
2013,1,29.1911764705882,Mujeres,07,"Balears, Illes"
2013,2,21.8782249742002,Mujeres,07,"Balears, Illes"
2013,3,16.2927166033828,Mujeres,07,"Balears, Illes"
2013,4,20.7132018209408,Mujeres,07,"Balears, Illes"
2014,1,25.1729438893159,Mujeres,07,"Balears, Illes"
2014,2,17.2740014015417,Mujeres,07,"Balears, Illes"
2014,3,14.0705237932215,Mujeres,07,"Balears, Illes"
2014,4,17.6623376623377,Mujeres,07,"Balears, Illes"
2011,1,17.9764390098419,Mujeres,08,Barcelona
2011,2,16.9734904270987,Mujeres,08,Barcelona
2011,3,18.1063000808645,Mujeres,08,Barcelona
2011,4,19.4641275465013,Mujeres,08,Barcelona
2012,1,21.121919110656,Mujeres,08,Barcelona
2012,2,20.0566234540307,Mujeres,08,Barcelona
2012,3,22.3543489641762,Mujeres,08,Barcelona
2012,4,22.9510624120826,Mujeres,08,Barcelona
2013,1,23.3884174482656,Mujeres,08,Barcelona
2013,2,23.335843373494,Mujeres,08,Barcelona
2013,3,22.2644886999329,Mujeres,08,Barcelona
