arr_port^pax
0^LHR     ^81439.0
1^LAX     ^64230.0
2^LAS     ^63190.0
3^MCO     ^62290.0
4^JFK     ^60060.0
5^CDG     ^58080.0
6^SFO     ^53710.0
7^MIA     ^53020.0
8^BKK     ^52660.0
9^DXB     ^52230.0
10^ORD     ^50740.0
11^IST     ^41490.0
12^DFW     ^41250.0
13^FCO     ^39920.0
14^LGA     ^39302.0
15^BCN     ^38790.0
16^ATL     ^38760.0
17^MAD     ^37850.0
18^CUN     ^34980.0
19^BOS     ^34680.0
20^EWR     ^33520.0
21^DEL     ^32150.0
22^BOM     ^31430.0
23^DEN     ^30700.0
24^SEA     ^30410.0
25^FRA     ^30190.0
26^ORY     ^30000.0
27^MUC     ^29410.0
28^TXL     ^29050.0
29^MNL     ^28920.0
30^HKG     ^28750.0
31^SYD     ^28720.0
32^FLL     ^28670.0
33^AMS     ^28340.0
34^PHX     ^27700.0
35^DCA     ^27550.0
36^IAH     ^26730.0
37^MEX     ^26400.0
38^JED     ^25300.0
39^PVG     ^24350.0
40^YYZ     ^23640.0
41^CAI     ^23090.0
42^SIN     ^22904.0
43^BOG     ^22470.0
44^SAN     ^22310.0
45^MEL     ^21990.0
46^PEK     ^21920.0
47^PHL     ^21580.0
48^VIE     ^21580.0
49^HNL     ^21540.0
50^ATH     ^21430.0
51^JNB     ^21240.0
52^LIS     ^21230.0
53^SVO     ^20582.0
54^ARN     ^20300.0
55^BRU     ^19960.0
56^TPA     ^19460.0
57^MSP     ^19300.0
58^ZRH     ^19050.0
59^CPH     ^18810.0
60^RUH     ^18440.0
61^LIM     ^18420.0
62^BNE     ^18240.0
63^IAD     ^17960.0
64^TLV     ^17370.0
65^DTW     ^17170.0
66^ICN     ^16980.0
67^DUS     ^16810.0
68^KUL     ^16670.0
69^CLT     ^16512.0
70^OSL     ^16450.0
71^MXP     ^15770.0
72^NRT     ^15050.0
73^HAM     ^14910.0
74^MSY     ^14790.0
75^YVR     ^14750.0
76^LED     ^14220.0
77^MAA     ^14110.0
78^NCE     ^13830.0
79^LIN     ^13520.0
80^PRG     ^13230.0
81^YUL     ^13140.0
82^CPT     ^13110.0
83^BWI     ^13060.0
84^PMI     ^12990.0
85^TUN     ^12910.0
86^GRU     ^12780.0
87^SLC     ^12770.0
88^PUJ     ^12770.0
89^TPE     ^12740.0
90^SJU     ^12590.0
91^STL     ^12420.0
92^BLR     ^12380.0
93^GVA     ^12340.0
94^DME     ^12320.0
95^AKL     ^12280.0
96^PDX     ^12170.0
97^DUB     ^11740.0
98^PER     ^11630.0
99^AMM     ^11620.0
100^CMN     ^11570.0
101^DOH     ^11350.0
102^SGN     ^11270.0
103^RDU     ^11210.0
104^HEL     ^11200.0
105^RSW     ^11170.0
106^HKT     ^11160.0
107^AUS     ^11070.0
108^SCL     ^10970.0
109^VCE     ^10890.0
110^HYD     ^10790.0
111^DAC     ^10700.0
112^CAN     ^10690.0
113^DPS     ^10380.0
114^BEY     ^10360.0
115^ALG     ^10280.0
116^WAW     ^10260.0
117^CMB     ^10230.0
118^PIT     ^10180.0
119^CGK     ^10140.0
120^SAT     ^10140.0
121^EZE     ^10130.0
122^SNA     ^9950.0
123^MCI     ^9550.0
124^YYC     ^9530.0
125^COK     ^9500.0
126^BUD     ^9480.0
127^AGP     ^9440.0
128^MRS     ^9220.0
129^MBJ     ^9080.0
130^GIG     ^8920.0
131^LYS     ^8820.0
132^MAN     ^8790.0
133^CCU     ^8550.0
134^BNA     ^8520.0
135^KBP     ^8140.0
136^MRU     ^8110.0
137^PBI     ^8040.0
138^AUH     ^7970.0
139^SJC     ^7940.0
140^IND     ^7940.0
141^NBO     ^7840.0
142^OGG     ^7810.0
143^GDL     ^7790.0
144^UIO     ^7730.0
145^LGW     ^7700.0
146^TLS     ^7690.0
147^AEP     ^7650.0
148^PTY     ^7510.0
149^OTP     ^7430.0
150^ISB     ^7430.0
151^JAX     ^7420.0
152^CMH     ^7300.0
153^CLE     ^7300.0
154^CCS     ^7210.0
155^STR     ^7110.0
156^CTA     ^7090.0
157^KWI     ^7060.0
158^LCY     ^7030.0
159^DMM     ^7020.0
160^SDQ     ^7020.0
161^ADL     ^6970.0
162^MKE     ^6870.0
163^USM     ^6570.0
164^DUR     ^6550.0
165^MLA     ^6530.0
166^GYE     ^6350.0
167^SJD     ^6330.0
168^LHE     ^6320.0
169^MDE     ^6300.0
170^KOA     ^6240.0
171^TRV     ^6230.0
172^MEM     ^6170.0
173^MCT     ^6110.0
174^CVG     ^6100.0
175^SJO     ^6100.0
176^LPA     ^6060.0
177^CTG     ^6060.0
178^BDL     ^6050.0
179^HAV     ^6000.0
180^KTM     ^5970.0
181^SMF     ^5820.0
182^BGO     ^5780.0
183^BLQ     ^5690.0
184^NAS     ^5690.0
185^CLO     ^5680.0
186^OPO     ^5600.0
187^BAH     ^5560.0
188^TFN     ^5520.0
189^ADD     ^5500.0
190^PVR     ^5480.0
191^CCJ     ^5430.0
192^BEG     ^5400.0
193^CGN     ^5230.0
194^VLC     ^5060.0
195^AUA     ^5060.0
196^SAL     ^5060.0
197^SKG     ^4980.0
198^HAJ     ^4960.0
199^SOF     ^4870.0
200^AYT     ^4810.0
201^SVG     ^4810.0
202^ANC     ^4640.0
203^KHI     ^4600.0
204^OKC     ^4600.0
205^EDI     ^4580.0
206^BUF     ^4580.0
207^GOT     ^4550.0
208^ALA     ^4520.0
209^LOS     ^4520.0
210^BOD     ^4510.0
211^BIO     ^4490.0
212^AMD     ^4490.0
213^LIH     ^4470.0
214^MTY     ^4470.0
215^CBR     ^4440.0
216^YEG     ^4410.0
217^ORF     ^4370.0
218^RIX     ^4330.0
219^LCA     ^4320.0
220^RAK     ^4320.0
221^FLR     ^4300.0
222^SDF     ^4290.0
223^CHC     ^4260.0
224^MLE     ^4240.0
225^RIC     ^4240.0
226^BHX     ^4220.0
227^KIX     ^4210.0
228^GUA     ^4130.0
229^NAP     ^4080.0
230^VKO     ^4060.0
231^CHS     ^4050.0
232^ABQ     ^4040.0
233^KEF     ^4030.0
234^SAV     ^4020.0
235^OMA     ^3930.0
236^HAN     ^3900.0
237^DKR     ^3870.0
238^PTP     ^3800.0
239^TUS     ^3800.0
240^CUZ     ^3750.0
241^GEG     ^3730.0
242^PMO     ^3720.0
243^WLG     ^3680.0
244^YOW     ^3630.0
245^PSP     ^3620.0
246^ABZ     ^3580.0
247^HOU     ^3540.0
248^ACC     ^3530.0
249^HER     ^3520.0
250^MDW     ^3500.0
251^ZAG     ^3490.0
252^CNX     ^3450.0
253^GOI     ^3450.0
254^RNO     ^3440.0
255^PVD     ^3410.0
256^OAK     ^3370.0
257^LKO     ^3360.0
258^CGH     ^3360.0
259^GLA     ^3330.0
260^BAQ     ^3330.0
261^LAD     ^3270.0
262^AER     ^3270.0
263^GSO     ^3240.0
264^CNS     ^3240.0
265^DAY     ^3240.0
266^CUR     ^3220.0
267^MED     ^3210.0
268^STT     ^3210.0
269^PNS     ^3200.0
270^POS     ^3200.0
271^RGN     ^3150.0
272^DAR     ^3140.0
273^ESB     ^3140.0
274^BOI     ^3110.0
275^TSE     ^3100.0
276^LUX     ^3090.0
277^IBZ     ^3090.0
278^ELP     ^3070.0
279^LIT     ^3040.0
280^GRR     ^3040.0
281^TBS     ^3030.0
282^KRT     ^3010.0
283^KRK     ^3000.0
284^ROC     ^2990.0
285^KRR     ^2940.0
286^TRD     ^2940.0
287^FDF     ^2940.0
288^SYR     ^2930.0
289^FNC     ^2910.0
290^DSM     ^2910.0
291^HBE     ^2900.0
292^HND     ^2900.0
293^NUE     ^2850.0
294^NAN     ^2850.0
295^PLZ     ^2850.0
296^ROV     ^2830.0
297^ORN     ^2820.0
298^BHM     ^2810.0
299^RUN     ^2810.0
300^ONT     ^2800.0
301^ADB     ^2790.0
302^IKA     ^2790.0
303^SUF     ^2770.0
304^TIP     ^2760.0
305^KIN     ^2760.0
306^MYR     ^2750.0
307^YHZ     ^2720.0
308^GYD     ^2720.0
309^BMA     ^2720.0
310^TUL     ^2710.0
311^ADZ     ^2690.0
312^ALC     ^2660.0
313^YWG     ^2610.0
314^SDU     ^2600.0
315^BRI     ^2600.0
316^TRN     ^2590.0
317^GSP     ^2580.0
318^CEB     ^2580.0
319^MSQ     ^2550.0
320^SVQ     ^2550.0
321^MBA     ^2530.0
322^COS     ^2510.0
323^ABJ     ^2500.0
324^EBB     ^2480.0
325^TIA     ^2470.0
326^NTE     ^2440.0
327^MSN     ^2430.0
328^MDT     ^2410.0
329^EVN     ^2380.0
330^PAP     ^2370.0
331^SVX     ^2360.0
332^PNQ     ^2360.0
333^TLL     ^2350.0
334^MGA     ^2340.0
